trial	 subject	 cond1	 cond2	 cue	 interval	 response	 direction	 vel	 cohNumber	 durSignal	 figure	soa	 surround	cohComparison	 v9	 v10	 tTestOnset	 tTestOffset	 tFigureOnset	 tFigureOffset	 coherence
1 	xx 	x 	x 	rdk 	1 	1 	1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
2 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
3 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
4 	xx 	x 	x 	rdk 	2 	1 	1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
5 	xx 	x 	x 	rdk 	2 	1 	1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
6 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
7 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
8 	xx 	x 	x 	rdk 	2 	1 	1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
9 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
10 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
11 	xx 	x 	x 	rdk 	1 	0 	1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
12 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
13 	xx 	x 	x 	rdk 	1 	1 	1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
14 	xx 	x 	x 	rdk 	2 	1 	1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
15 	xx 	x 	x 	rdk 	1 	1 	1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
16 	xx 	x 	x 	rdk 	1 	1 	1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
17 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
18 	xx 	x 	x 	rdk 	2 	0 	1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
19 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
20 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
21 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
22 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
23 	xx 	x 	x 	rdk 	2 	1 	1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
24 	xx 	x 	x 	rdk 	1 	0 	1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
25 	xx 	x 	x 	rdk 	2 	1 	1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
26 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
27 	xx 	x 	x 	rdk 	2 	0 	1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
28 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
29 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
30 	xx 	x 	x 	rdk 	2 	1 	1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
31 	xx 	x 	x 	rdk 	1 	1 	1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
32 	xx 	x 	x 	rdk 	1 	0 	1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
33 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
34 	xx 	x 	x 	rdk 	1 	1 	1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
35 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
36 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
37 	xx 	x 	x 	rdk 	1 	0 	1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
38 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
39 	xx 	x 	x 	rdk 	2 	0 	1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
40 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
41 	xx 	x 	x 	rdk 	2 	1 	1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
42 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
43 	xx 	x 	x 	rdk 	1 	0 	1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
44 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
45 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
46 	xx 	x 	x 	rdk 	2 	0 	1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
47 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
48 	xx 	x 	x 	rdk 	2 	0 	-1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
49 	xx 	x 	x 	rdk 	1 	0 	1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
50 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
51 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	40 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.8
52 	xx 	x 	x 	rdk 	2 	0 	1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
53 	xx 	x 	x 	rdk 	1 	0 	-1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
54 	xx 	x 	x 	rdk 	1 	0 	1 	3 	10 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.2
55 	xx 	x 	x 	rdk 	2 	1 	-1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
56 	xx 	x 	x 	rdk 	2 	0 	1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
57 	xx 	x 	x 	rdk 	2 	1 	1 	3 	50 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	1.0
58 	xx 	x 	x 	rdk 	1 	1 	-1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
59 	xx 	x 	x 	rdk 	1 	0 	1 	3 	30 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.6
60 	xx 	x 	x 	rdk 	1 	0 	1 	3 	20 	5 	2 	0 	static 	20 	0 	0 	60 	65 	60 	65 	0.4
